,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
87,453319239,43,BRONX,12/27/2021,09:47:00,12/27/2021,14:42:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,12/27/2021,EAST 177 ST.-PARKCHESTER,,,,12.0,UNKNOWN,UNKNOWN,D,1020219,239110,40.82291230800007,-73.87004130399998,"(40.82291230800007, -73.87004130399998)",POINT (-73.87004130399998 40.82291230800007)
111,802228793,47,BRONX,12/25/2021,02:00:00,12/25/2021,02:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,106,FELONY,,FELONY ASSAULT,,PATROL BORO BRONX,109.0,"ASSAULT 2,1,UNCLASSIFIED",HOMELESS SHELTER,12/25/2021,BURKE AVENUE,25-44,WHITE HISPANIC,M,12.0,45-64,WHITE HISPANIC,F,1020990,256795,40.87144920400005,-73.867158697,"(40.87144920400005, -73.867158697)",POINT (-73.867158697 40.87144920400005)
136,331081520,40,BRONX,12/27/2021,07:50:00,,,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/27/2021,138 ST.-GRAND CONCOURSE,25-44,WHITE HISPANIC,M,11.0,25-44,BLACK,M,1003517,235593,40.81331135300008,-73.93039761899996,"(40.81331135300008, -73.93039761899996)",POINT (-73.93039761899996 40.81331135300008)
177,843949635,52,BRONX,12/22/2021,11:25:00,12/22/2021,11:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/22/2021,KINGSBRIDGE ROAD,25-44,BLACK,M,11.0,<18,WHITE HISPANIC,F,1013463,254828,40.86607851200006,-73.89438301399997,"(40.86607851200006, -73.89438301399997)",POINT (-73.89438301399997 40.86607851200006)
212,945496378,6,MANHATTAN,12/23/2021,07:06:00,12/23/2021,07:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,12/23/2021,8 AVENUE,,,,2.0,UNKNOWN,UNKNOWN,D,983551,208788,40.739759650000046,-74.00252386299998,"(40.739759650000046, -74.00252386299998)",POINT (-74.00252386299998 40.739759650000046)
279,197150433,52,BRONX,12/27/2021,13:05:00,12/27/2021,13:09:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,12/27/2021,FORDHAM ROAD,UNKNOWN,WHITE HISPANIC,U,11.0,25-44,WHITE HISPANIC,F,1011612,253618,40.86276336100008,-73.90108016499995,"(40.86276336100008, -73.90108016499995)",POINT (-73.90108016499995 40.86276336100008)
281,101622361,7,MANHATTAN,12/22/2021,17:20:00,12/22/2021,17:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO MAN SOUTH,418.0,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",TRANSIT - NYC SUBWAY,12/22/2021,DELANCEY STREET,UNKNOWN,UNKNOWN,U,4.0,25-44,WHITE HISPANIC,M,987521,201066,40.718564066000056,-73.98820145399996,"(40.718564066000056, -73.98820145399996)",POINT (-73.98820145399996 40.718564066000056)
288,830151253,13,MANHATTAN,12/30/2021,02:15:00,12/30/2021,02:20:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,12/30/2021,28 STREET,25-44,WHITE HISPANIC,M,4.0,UNKNOWN,UNKNOWN,D,988663,210090,40.74333224400005,-73.98407582099996,"(40.74333224400005, -73.98407582099996)",POINT (-73.98407582099996 40.74333224400005)
318,462468770,78,BROOKLYN,12/22/2021,07:30:00,12/22/2021,07:45:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,12/22/2021,7 AVENUE,45-64,BLACK,M,30.0,18-24,WHITE HISPANIC,F,989360,182242,40.666895659000026,-73.98158161699997,"(40.666895659000026, -73.98158161699997)",POINT (-73.98158161699997 40.666895659000026)
422,992748324,10,MANHATTAN,12/30/2021,04:00:00,12/30/2021,05:20:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,12/30/2021,23 STREET,UNKNOWN,UNKNOWN,U,2.0,UNKNOWN,UNKNOWN,D,984669,210807,40.74530132000008,-73.99848931699995,"(40.745301320000074, -73.99848931699995)",POINT (-73.99848931699995 40.745301320000074)
447,429622041,62,BROOKLYN,12/31/2021,18:30:00,12/31/2021,19:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,405.0,"LARCENY,GRAND BY THEFT OF CREDIT CARD",TRANSIT - NYC SUBWAY,12/31/2021,BAY PARKWAY,UNKNOWN,UNKNOWN,U,34.0,45-64,ASIAN / PACIFIC ISLANDER,F,989317,162811,40.61356174100007,-73.98175120699995,"(40.61356174100007, -73.98175120699995)",POINT (-73.98175120699995 40.61356174100007)
549,561245250,18,MANHATTAN,12/27/2021,00:45:00,12/27/2021,01:04:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,12/27/2021,57 STREET,18-24,BLACK,M,1.0,UNKNOWN,UNKNOWN,E,990567,217741,40.76433114500002,-73.97719748199995,"(40.76433114500002, -73.97719748199995)",POINT (-73.97719748199995 40.76433114500002)
583,453127578,71,BROOKLYN,12/29/2021,15:12:00,12/29/2021,15:30:00,ATTEMPTED,,,1.0,N.Y. TRANSIT POLICE,361,MISDEMEANOR,,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BKLYN SOUTH,647.0,FALSE REPORT BOMB,TRANSIT - NYC SUBWAY,12/29/2021,PROSPECT PARK,,,,32.0,UNKNOWN,UNKNOWN,E,994685,180860,40.66309770000004,-73.96238892699995,"(40.66309770000004, -73.96238892699995)",POINT (-73.96238892699995 40.66309770000004)
585,746006642,52,BRONX,12/29/2021,17:30:00,12/29/2021,17:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,105,FELONY,,ROBBERY,,PATROL BORO BRONX,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",TRANSIT - NYC SUBWAY,12/29/2021,183 STREET,UNKNOWN,BLACK,M,11.0,45-64,BLACK,M,1010831,252019,40.858376975000056,-73.90391003799994,"(40.858376975000056, -73.90391003799994)",POINT (-73.90391003799994 40.858376975000056)
609,344871948,25,MANHATTAN,12/22/2021,08:55:00,12/22/2021,09:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO MAN NORTH,339.0,"LARCENY,PETIT FROM OPEN AREAS,",TRANSIT - NYC SUBWAY,12/22/2021,125 STREET,25-44,WHITE HISPANIC,M,4.0,UNKNOWN,UNKNOWN,E,1001575,232339,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",POINT (-73.93742166899995 40.804384046000045)
705,774596007,5,MANHATTAN,12/26/2021,18:15:00,12/26/2021,18:20:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/26/2021,CANAL STREET,UNKNOWN,BLACK,M,2.0,25-44,WHITE HISPANIC,F,984262,200870,40.71802669700002,-73.99995815799997,"(40.71802669700002, -73.99995815799997)",POINT (-73.99995815799997 40.71802669700002)
873,376430625,6,MANHATTAN,12/25/2021,23:55:00,12/26/2021,00:05:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,113.0,"MENACING,UNCLASSIFIED",TRANSIT - NYC SUBWAY,12/26/2021,14 STREET,45-64,WHITE HISPANIC,M,2.0,25-44,BLACK,M,985126,207917,40.73736895500008,-73.99684042399997,"(40.73736895500008, -73.99684042399997)",POINT (-73.99684042399997 40.73736895500008)
900,108150745,14,MANHATTAN,12/22/2021,11:38:00,12/22/2021,11:42:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,106,FELONY,,FELONY ASSAULT,,PATROL BORO MAN SOUTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",TRANSIT - NYC SUBWAY,12/22/2021,42 ST.-TIMES SQUARE,,,,1.0,45-64,BLACK,M,988017,214638,40.75581565800008,-73.98640455799993,"(40.75581565800008, -73.98640455799993)",POINT (-73.98640455799993 40.75581565800008)
948,218223112,110,QUEENS,12/24/2021,20:00:00,12/24/2021,20:10:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO QUEENS NORTH,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/24/2021,ROOSEVELT AVE.-JACKSON HEIGHTS,UNKNOWN,WHITE HISPANIC,M,20.0,25-44,WHITE HISPANIC,M,1014244,211379,40.746820464000045,-73.89175345599993,"(40.746820464000045, -73.89175345599993)",POINT (-73.89175345599993 40.746820464000045)
965,599843291,114,QUEENS,12/31/2021,02:00:00,12/31/2021,02:05:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO QUEENS NORTH,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/31/2021,36 STREET,45-64,BLACK,M,20.0,18-24,ASIAN / PACIFIC ISLANDER,M,1004224,213277,40.75205830300007,-73.92790985999993,"(40.75205830300007, -73.92790985999993)",POINT (-73.92790985999993 40.75205830300007)
1032,199545355,77,BROOKLYN,12/27/2021,01:40:00,12/27/2021,03:40:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,12/27/2021,UTICA AVE.-CROWN HEIGHTS,UNKNOWN,UNKNOWN,U,32.0,UNKNOWN,UNKNOWN,D,1003358,182945,40.66880609300006,-73.93112156699993,"(40.66880609300006, -73.93112156699993)",POINT (-73.93112156699993 40.66880609300006)
1097,640032382,40,BRONX,12/26/2021,01:10:00,12/26/2021,01:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,361,MISDEMEANOR,,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BRONX,661.0,"LEWDNESS,PUBLIC",TRANSIT - NYC SUBWAY,12/26/2021,3 AVENUE-149 STREET,25-44,BLACK,M,12.0,18-24,BLACK,F,1007046,236603,40.81607511900006,-73.91764535299995,"(40.81607511900006, -73.91764535299995)",POINT (-73.91764535299995 40.81607511900006)
1167,613117960,14,MANHATTAN,12/22/2021,20:00:00,12/22/2021,20:05:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,235,MISDEMEANOR,,DANGEROUS DRUGS,,PATROL BORO MAN SOUTH,511.0,"CONTROLLED SUBSTANCE, POSSESSI",TRANSIT - NYC SUBWAY,12/22/2021,34 ST.-PENN STATION,25-44,BLACK,F,2.0,UNKNOWN,UNKNOWN,E,986061,213320,40.75219869800003,-73.99346504499994,"(40.75219869800003, -73.99346504499994)",POINT (-73.99346504499994 40.75219869800003)
1185,867021426,19,MANHATTAN,12/26/2021,17:20:00,12/26/2021,17:25:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO MAN NORTH,415.0,"LARCENY,GRAND FROM PERSON,PICK",TRANSIT - NYC SUBWAY,12/26/2021,86 STREET,UNKNOWN,BLACK,M,4.0,45-64,ASIAN / PACIFIC ISLANDER,F,996551,223272,40.77950599700006,-73.95558550399994,"(40.77950599700006, -73.95558550399994)",POINT (-73.95558550399994 40.77950599700006)
1205,382693568,75,BROOKLYN,12/28/2021,17:13:00,12/28/2021,17:15:00,ATTEMPTED,,,1.0,N.Y. TRANSIT POLICE,105,FELONY,,ROBBERY,,PATROL BORO BKLYN NORTH,398.0,"ROBBERY,PUBLIC PLACE INSIDE",TRANSIT - NYC SUBWAY,12/28/2021,CYPRESS HILLS,<18,BLACK HISPANIC,M,33.0,25-44,WHITE HISPANIC,M,1019822,190789,40.69028523600008,-73.87173135399996,"(40.69028523600008, -73.87173135399996)",POINT (-73.87173135399996 40.69028523600008)
1277,730522095,73,BROOKLYN,12/23/2021,14:40:00,12/23/2021,14:43:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,233,MISDEMEANOR,,SEX CRIMES,,PATROL BORO BKLYN NORTH,175.0,"SEXUAL ABUSE 3,2",TRANSIT - NYC SUBWAY,12/23/2021,ATLANTIC AVENUE,,,,33.0,45-64,BLACK,F,1008276,183623,40.670655072000045,-73.91339091999998,"(40.670655072000045, -73.91339091999998)",POINT (-73.91339091999998 40.670655072000045)
1286,529568697,14,MANHATTAN,12/24/2021,15:50:00,12/24/2021,16:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,113.0,"MENACING,UNCLASSIFIED",TRANSIT - NYC SUBWAY,12/24/2021,34 ST.-PENN STATION,UNKNOWN,BLACK,M,2.0,18-24,ASIAN / PACIFIC ISLANDER,M,986061,213320,40.75219869800003,-73.99346504499994,"(40.75219869800003, -73.99346504499994)",POINT (-73.99346504499994 40.75219869800003)
1339,482274956,70,BROOKLYN,12/29/2021,04:55:00,12/29/2021,05:06:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN SOUTH,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,12/29/2021,FLATBUSH AVE.-BROOKLYN COLLEGE,,,,32.0,UNKNOWN,UNKNOWN,D,998767,169858,40.632893841000055,-73.94769920999995,"(40.632893841000055, -73.94769920999995)",POINT (-73.94769920999995 40.632893841000055)
1411,684367560,108,QUEENS,12/28/2021,00:30:00,12/28/2021,00:50:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO QUEENS NORTH,408.0,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",TRANSIT - NYC SUBWAY,12/28/2021,QUEENS PLAZA,25-44,BLACK,M,20.0,45-64,WHITE,F,1001596,212133,40.74892385700008,-73.93739797299997,"(40.74892385700008, -73.93739797299997)",POINT (-73.93739797299997 40.74892385700008)
1433,727549801,72,BROOKLYN,12/27/2021,21:45:00,12/27/2021,22:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,235,MISDEMEANOR,,DANGEROUS DRUGS,,PATROL BORO BKLYN SOUTH,511.0,"CONTROLLED SUBSTANCE, POSSESSI",TRANSIT - NYC SUBWAY,12/27/2021,59 STREET,,,,34.0,UNKNOWN,UNKNOWN,E,979306,172969,40.64144338700004,-74.017816097,"(40.64144338700004, -74.017816097)",POINT (-74.017816097 40.64144338700004)
1504,629822484,72,BROOKLYN,12/22/2021,18:43:00,12/22/2021,19:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,352,MISDEMEANOR,,CRIMINAL TRESPASS,,PATROL BORO BKLYN SOUTH,203.0,"TRESPASS 3, CRIMINAL",TRANSIT - NYC SUBWAY,12/22/2021,53 STREET,45-64,WHITE HISPANIC,M,34.0,UNKNOWN,UNKNOWN,E,980275,174191,40.64479800400005,-74.01432523199998,"(40.64479800400005, -74.01432523199998)",POINT (-74.01432523199998 40.64479800400005)
1629,276484615,13,MANHATTAN,12/22/2021,09:55:00,12/22/2021,10:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/22/2021,14 STREET,25-44,BLACK,M,4.0,45-64,BLACK,F,987048,206851,40.73444264900007,-73.98990537699996,"(40.73444264900007, -73.98990537699996)",POINT (-73.98990537699996 40.73444264900007)
1655,904380731,77,BROOKLYN,12/25/2021,02:00:00,12/25/2021,02:05:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO BKLYN NORTH,301.0,"LARCENY,PETIT BY ACQUIRING LOS",TRANSIT - NYC SUBWAY,12/25/2021,EASTERN PKWY-BROOKLYN MUSEUM,,,,32.0,25-44,BLACK,M,994632,183977,40.67165323500007,-73.96257516499998,"(40.67165323500007, -73.96257516499998)",POINT (-73.96257516499998 40.67165323500007)
1898,630271681,18,MANHATTAN,12/26/2021,20:00:00,12/26/2021,21:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO MAN SOUTH,418.0,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",TRANSIT - NYC SUBWAY,12/27/2021,50 STREET,,,,1.0,18-24,ASIAN / PACIFIC ISLANDER,M,988099,217000,40.76229871000004,-73.98610722999997,"(40.76229871000004, -73.98610722999997)",POINT (-73.98610722999997 40.76229871000004)
1955,512144989,1,MANHATTAN,12/19/2021,22:30:00,12/19/2021,22:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/28/2021,RECTOR STREET,18-24,WHITE,M,2.0,25-44,WHITE,M,980656,197137,40.70777977000005,-74.01296454999994,"(40.70777977000005, -74.01296454999994)",POINT (-74.01296454999994 40.70777977000005)
1956,833463058,71,BROOKLYN,12/28/2021,08:55:00,12/28/2021,09:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN SOUTH,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,12/28/2021,PROSPECT PARK,,,,32.0,UNKNOWN,UNKNOWN,D,994685,180860,40.66309770000004,-73.96238892699995,"(40.66309770000004, -73.96238892699995)",POINT (-73.96238892699995 40.66309770000004)
2015,741364838,49,BRONX,12/22/2021,16:00:00,12/22/2021,16:40:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,12/22/2021,PELHAM PKWY.,,,,12.0,UNKNOWN,UNKNOWN,D,1024085,251962,40.858170675000046,-73.85599668799993,"(40.858170675000046, -73.85599668799993)",POINT (-73.85599668799993 40.858170675000046)
2031,202786392,33,MANHATTAN,12/30/2021,08:35:00,12/30/2021,08:55:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,106,FELONY,,FELONY ASSAULT,,PATROL BORO MAN NORTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",TRANSIT - NYC SUBWAY,12/30/2021,157 STREET,45-64,BLACK,M,3.0,65+,WHITE,F,999503,243153,40.83406925100008,-73.94488137899998,"(40.83406925100008, -73.94488137899998)",POINT (-73.94488137899998 40.83406925100008)
2068,400182643,114,QUEENS,12/25/2021,07:30:00,12/25/2021,07:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,105,FELONY,,ROBBERY,,PATROL BORO QUEENS NORTH,398.0,"ROBBERY,PUBLIC PLACE INSIDE",TRANSIT - NYC SUBWAY,12/25/2021,46 STREET,UNKNOWN,UNKNOWN,M,20.0,<18,ASIAN / PACIFIC ISLANDER,M,1008017,214982,40.75672871200004,-73.91421387499997,"(40.75672871200004, -73.91421387499997)",POINT (-73.91421387499997 40.75672871200004)
2113,214855464,14,MANHATTAN,12/23/2021,00:30:00,12/23/2021,01:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO MAN SOUTH,406.0,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",TRANSIT - NYC SUBWAY,12/23/2021,42 ST.-TIMES SQUARE,,,,1.0,18-24,ASIAN / PACIFIC ISLANDER,F,987866,214721,40.75604353500006,-73.98694954399997,"(40.75604353500006, -73.98694954399997)",POINT (-73.98694954399997 40.75604353500006)
2136,876241502,47,BRONX,12/25/2021,21:33:00,12/25/2021,22:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,12/26/2021,DYRE AVE.-EASTCHESTER,UNKNOWN,UNKNOWN,U,12.0,UNKNOWN,UNKNOWN,D,1030976,262779,40.88782618700003,-73.83101012899994,"(40.88782618700003, -73.83101012899994)",POINT (-73.83101012899994 40.88782618700003)
2179,833355078,69,BROOKLYN,12/30/2021,00:50:00,12/30/2021,01:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN SOUTH,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,12/30/2021,EAST 105 STREET,25-44,BLACK,M,33.0,UNKNOWN,UNKNOWN,E,1012560,176285,40.65050122600008,-73.89797849099993,"(40.65050122600008, -73.89797849099993)",POINT (-73.89797849099993 40.65050122600008)
2243,547327540,73,BROOKLYN,12/25/2021,21:00:00,12/25/2021,21:33:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,12/25/2021,ROCKAWAY AVENUE,UNKNOWN,UNKNOWN,U,33.0,UNKNOWN,UNKNOWN,D,1009004,186404,40.678286283000034,-73.91075636499993,"(40.678286283000034, -73.91075636499993)",POINT (-73.91075636499993 40.678286283000034)
2271,220647579,73,BROOKLYN,12/23/2021,20:35:00,12/23/2021,20:38:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,12/23/2021,HALSEY STREET,UNKNOWN,UNKNOWN,U,33.0,UNKNOWN,UNKNOWN,D,1007685,189129,40.685769376000046,-73.91550224899999,"(40.685769376000046, -73.91550224899999)",POINT (-73.91550224899999 40.685769376000046)
2326,220284084,25,MANHATTAN,12/22/2021,08:44:00,12/22/2021,08:55:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,106,FELONY,,FELONY ASSAULT,,PATROL BORO MAN NORTH,106.0,ASSAULT POLICE/PEACE OFFICER,TRANSIT - NYC SUBWAY,12/22/2021,125 STREET,25-44,BLACK,F,4.0,UNKNOWN,UNKNOWN,E,1001575,232339,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",POINT (-73.93742166899995 40.804384046000045)
2375,200501228,68,BROOKLYN,12/24/2021,20:00:00,12/24/2021,20:01:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,405.0,"LARCENY,GRAND BY THEFT OF CREDIT CARD",TRANSIT - NYC SUBWAY,12/28/2021,8 AVENUE,UNKNOWN,UNKNOWN,U,34.0,18-24,ASIAN / PACIFIC ISLANDER,F,981268,170390,40.634365460000026,-74.01074530599993,"(40.634365460000026, -74.01074530599993)",POINT (-74.01074530599993 40.634365460000026)
2542,318548058,75,BROOKLYN,12/22/2021,02:15:00,12/22/2021,02:30:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO BKLYN NORTH,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",TRANSIT - NYC SUBWAY,12/22/2021,VAN SICLEN AVENUE,UNKNOWN,UNKNOWN,U,32.0,25-44,BLACK,F,1015183,181789,40.66559971500004,-73.88850054499993,"(40.66559971500004, -73.88850054499993)",POINT (-73.88850054499993 40.66559971500004)
2549,463827809,73,BROOKLYN,12/30/2021,18:30:00,12/30/2021,18:42:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,12/30/2021,ROCKAWAY AVENUE,UNKNOWN,UNKNOWN,U,33.0,UNKNOWN,UNKNOWN,E,1009004,186404,40.678286283000034,-73.91075636499993,"(40.678286283000034, -73.91075636499993)",POINT (-73.91075636499993 40.678286283000034)
2631,332692166,19,MANHATTAN,12/24/2021,11:00:00,,,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,361,MISDEMEANOR,,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN NORTH,661.0,"LEWDNESS,PUBLIC",TRANSIT - NYC SUBWAY,12/24/2021,86 STREET,UNKNOWN,BLACK,M,4.0,25-44,ASIAN / PACIFIC ISLANDER,F,996551,223272,40.77950599700006,-73.95558550399994,"(40.77950599700006, -73.95558550399994)",POINT (-73.95558550399994 40.77950599700006)
